d1(cm),d_real(cm),d_mea(cm),d2(cm),d_real(cm),d_mea(cm),d3(cm),d_real(cm),d_mea(cm),d4(cm),d_real(cm),d_mea(cm),d5(cm),d_real(cm),d_mea(cm),d6(cm),d_real(cm),d_mea(cm),d7(cm),d_real(cm),d_mea(cm)
50.6,,,100.7,,,197.9,,,302.5,,,516.4,,,1048.9,,,1539.5,,
54.1,,,103.2,,,198.2,,,304.8,,,508.1,,,1039.3,,,1540.4,,
56.3,,,97.5,,,202.2,,,300.3,,,514.8,,,1036.7,,,1541.6,,
52.3,,,100.6,,,197.3,,,301.8,,,512,,,1035.8,,,1540,,
48.1,,,104.5,,,199.7,,,302.3,,,513.7,,,1034.3,,,1537.5,,
55,,,102,,,199.9,,,302.3,,,511.4,,,1038.7,,,1545.4,,
51.7,,,101.2,,,200.5,,,304.3,,,516.5,,,1043,,,1541.1,,
49.8,,,102.6,,,198.9,,,300.9,,,527,,,1035.8,,,1539.9,,
54.2,,,107,,,199.4,,,302.4,,,519.8,,,1041.3,,,1541.5,,
52,,,99.1,,,197.6,,,305.9,,,518.3,,,1048.4,,,1538.8,,
48.9,,,103.4,,,194.4,,,305.6,,,512.7,,,1040.1,,,1539.2,,
53.3,,,98.1,,,198.3,,,303.7,,,564.5,,,1033.5,,,1544.9,,
49.1,,,99.5,,,201.5,,,302.4,,,509.4,,,1038.6,,,1538.2,,
54.7,,,99.3,,,199,,,303.6,,,517.3,,,1033.7,,,1543.5,,
51.2,,,95.8,,,202.2,,,302.3,,,513.3,,,1043.5,,,1543.5,,
49.1,,,101.4,,,202.4,,,306.1,,,509.8,,,1039.3,,,1542.2,,
55.9,,,99.5,,,199.6,,,306.2,,,510.5,,,1038.1,,,1539.1,,
52,,,99.3,,,198.5,,,302.7,,,515.1,,,1035.8,,,1546.4,,
47.3,,,98.1,,,198.1,,,301.4,,,521.2,,,1039.1,,,1537.4,,
52.8,,,99.8,,,197.7,,,303.8,,,511.9,,,1038.8,,,1538,,
49.4,,,95.4,,,199.5,,,302.8,,,513.8,,,1035.7,,,1538.4,,
54.4,,,94.8,,,198.3,,,305.5,,,520.3,,,1049.6,,,1535.5,,
53.6,,,94.3,,,200,,,303.8,,,521.9,,,1042.7,,,1547.5,,
53.4,,,94.2,,,196.3,,,305.5,,,516.2,,,1038.8,,,1548.2,,
48.8,,,97.7,,,200.3,,,300.7,,,514.5,,,1040,,,1537.5,,
52.6,,,96.4,,,198.9,,,303.4,,,508.3,,,1041.2,,,1539.4,,
50.7,,,95.4,,,198.6,,,304.1,,,514.8,,,1094.9,,,1545,,
51.3,,,95.4,,,196.5,,,299.7,,,526.1,,,1040.8,,,1540.4,,
52.7,,,93.5,,,198.6,,,304.7,,,511.8,,,1042.3,,,1542.3,,
48.7,,,97.1,,,203.5,,,302.6,,,507.7,,,1039.2,,,1543.6,,
47.4,,,94.5,,,200.6,,,300.9,,,517.2,,,1041.2,,,1541.1,,
54.7,,,96.2,,,199.4,,,305.2,,,520.8,,,1036.5,,,1545.7,,
50,,,96.7,,,199.3,,,304.3,,,510.2,,,1046,,,1541.2,,
48.6,,,93.7,,,198.8,,,305.7,,,514.1,,,1041.9,,,1546.3,,
49.8,,,96.6,,,198.6,,,303.7,,,510.4,,,1040.4,,,1544.1,,
52.3,,,92.9,,,199.8,,,304.5,,,511.5,,,1040.1,,,1543.4,,
50.9,,,94.1,,,200.4,,,303.6,,,517.2,,,1071.2,,,1538.2,,
48.9,,,97.3,,,199.4,,,301.2,,,509.8,,,1045.5,,,1550.4,,
48.2,,,90.8,,,197.9,,,302.4,,,512.9,,,1040.8,,,1538.3,,
48.2,,,98.6,,,199.7,,,308.1,,,511.2,,,1038,,,1542.1,,
54.8,,,92,,,202.2,,,302,,,514.1,,,1042.3,,,1545.6,,
51,,,95,,,198.4,,,302.1,,,511.1,,,1041.9,,,1545.3,,
48.7,,,94.2,,,200.3,,,300.2,,,512.7,,,1038.8,,,1540.4,,
53.2,,,93.6,,,196.6,,,302.8,,,516.4,,,1036.4,,,1541.7,,
50.4,,,95.4,,,196.1,,,307.8,,,509.6,,,1041.4,,,1546.7,,
52.6,,,92.5,,,197.5,,,303,,,515.6,,,1044.7,,,1534.6,,
49.1,,,93.7,,,197.9,,,304.2,,,512.6,,,1035.2,,,1541.2,,
51,,,97.4,,,200.6,,,301.8,,,509.2,,,1042.8,,,1532.6,,
53.9,,,97.5,,,196.5,,,300.8,,,516.2,,,1043.5,,,1544.1,,
55,,,95,,,197.6,,,305.3,,,517,,,1042.7,,,1545.8,,
48.5,,,92.6,,,195.8,,,300.6,,,512.3,,,1042.1,,,1543.5,,
