d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),,52.7,53.13290793
,,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,49.3,
,,,,,,,,,,,,,,,,50.9,
,,,,,,,,,,,,,,,,48.8,
,,,,,,,,,,,,,,,,50.4,
,,,,,,,,,,,,,,,,54.9,
,,,,,,,,,,,,,,,,56.4,
,,,,,,,,,,,,,,,,54.7,
,,,,,,,,,,,,,,,,48.9,
,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,48.8,
,,,,,,,,,,,,,,,,55.3,
,,,,,,,,,,,,,,,,53.7,
,,,,,,,,,,,,,,,,58.2,
,,,,,,,,,,,,,,,,49.8,
,,,,,,,,,,,,,,,,45.1,
,,,,,,,,,,,,,,,,49.5,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,52.1,
,,,,,,,,,,,,,,,,52.9,
,,,,,,,,,,,,,,,,53,
,,,,,,,,,,,,,,,,55.8,
,,,,,,,,,,,,,,,,55.6,
,,,,,,,,,,,,,,,,49.8,
,,,,,,,,,,,,,,,,56.9,
,,,,,,,,,,,,,,,,50.3,
,,,,,,,,,,,,,,,,55.6,
,,,,,,,,,,,,,,,,49.9,
,,,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,,,55.1,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,50.1,
,,,,,,,,,,,,,,,,54.4,
,,,,,,,,,,,,,,,,52,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,57.4,
,,,,,,,,,,,,,,,,53.8,
,,,,,,,,,,,,,,,,53.4,
,,,,,,,,,,,,,,,,57.2,
,,,,,,,,,,,,,,,,55.4,
,,,,,,,,,,,,,,,,46.7,
,,,,,,,,,,,,,,,,56.1,
,,,,,,,,,,,,,,,,49.5,
,,,,,,,,,,,,,,,,49.7,
,,,,,,,,,,,,,,,,59.7,
,,,,,,,,,,,,,,,,52.4,
,,,,,,,,,,,,,,,,51.6,
,,,,,,,,,,,,,,,,50.8,
,,,,,,,,,,,,,,,,50.1,
,,,,,,,,,,,,,,,,49.8,
,,,,,,,,,,,,,,,,51.5,
,,,,,,,,,,,,,,,,48.9,
,,,,,,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,57.8,
,,,,,,,,,,,,,,,,56.5,
,,,,,,,,,,,,,,,,57.1,
,,,,,,,,,,,,,,,,52.1,
