NLoS,d_real(cm),d_mea(cm),NLoS,d_real(cm),d_mea(cm),LoS,LoS,LoS
113.7,,,543.3,,,93.5,515.4,519.2
117,,,543,,,99.5,516.5,519.5
115.4,,,538.3,,,97.5,519.9,522.7
115.4,,,537.5,,,99.8,523.9,514.4
118.7,,,541,,,100.4,514.2,527
116.4,,,534.5,,,100.1,516.3,516.2
115.1,,,532.2,,,99.4,512.1,512.1
114.1,,,527.3,,,99,520.4,524.6
110.7,,,533.5,,,96.4,521.5,514.5
115,,,531.3,,,100.6,521.8,515.1
115.3,,,530.4,,,106.3,522.4,509
116.9,,,528.7,,,99.1,515.5,516.1
114.7,,,532.7,,,88.7,521.2,517.4
114.9,,,532.8,,,88.1,523.9,499.6
117.2,,,537.4,,,93.4,522.5,512.7
116.1,,,526.5,,,93.6,521.8,513.1
116.3,,,536.4,,,96.1,517.3,517.6
114.2,,,529.1,,,96.9,531,521.5
115.8,,,521,,,100.5,515.9,514.9
115.9,,,536,,,97.4,524.4,510.1
112.1,,,540.2,,,101.2,518.2,512.4
114.2,,,535.7,,,96.2,516.7,505.1
114.8,,,543.9,,,95.6,517.4,515.8
113.4,,,529.4,,,93.4,516.4,515.9
117.6,,,533.9,,,92,514,512.3
114.6,,,528.1,,,91.6,517.1,544.3
114.5,,,541.6,,,97.3,508.7,515.7
117.5,,,520.7,,,99.5,522.2,514.7
115.9,,,535.5,,,95.6,512.6,518.2
114.3,,,537.3,,,91.1,510.8,513.9
115,,,533.3,,,91.9,509.5,517.3
113.5,,,534.2,,,93.3,516.5,514.2
111.5,,,536.9,,,95.6,519.7,516.6
116.6,,,534.4,,,106.8,514.4,514
111.8,,,523.2,,,107.1,508.3,521
113.4,,,532.5,,,102.4,542.3,515.1
115.8,,,535.1,,,100.4,511.4,526.1
115.3,,,529.4,,,98.2,511.5,517.4
116.2,,,529.8,,,89.6,516,510.3
115.2,,,528.8,,,93.4,522.1,506.5
116.9,,,535.9,,,93.3,517.6,513.1
114.5,,,530.3,,,93.8,537.8,518
114.8,,,530,,,93.5,515.6,512
112.5,,,534.2,,,93.1,510.8,510.8
114.8,,,533.8,,,92.3,512.9,508.6
113.5,,,535,,,95.7,519.9,548
114.5,,,534.8,,,94.6,519.5,512.1
114.7,,,530.3,,,95,513.9,510.9
114.3,,,539.7,,,92.4,512,514.7
115.5,,,534.3,,,95.3,520.9,517.9
113.2,,,541,,,92,513.3,525.4
113.4,,,533.3,,,92.4,516.5,509.8
113.4,,,530.5,,,92.8,506.7,523.4
120,,,526.5,,,96,511.7,515.4
117.5,,,523.8,,,94.5,509.3,538.2
113.8,,,531.9,,,93.7,512.5,511.8
114.8,,,537,,,97.5,517.2,518.8
112.8,,,528.2,,,96.5,508.8,512.4
115.5,,,536.9,,,97.7,516.6,534.3
115.6,,,528.8,,,99.8,528.2,516.4
117.8,,,525.2,,,99.1,518.3,509.4
113.7,,,534,,,97.2,503.9,513.7
118.2,,,529.8,,,93.3,517.9,512
114.5,,,522.2,,,97.4,518.2,517.3
116.2,,,529.7,,,96.7,534.7,520.4
113.1,,,540.8,,,98.8,507.8,518.4
115.8,,,542.6,,,94.2,511.6,511.4
110.5,,,546.5,,,98.2,515.1,509.6
109.5,,,548.6,,,94.9,515.1,515
113.1,,,545,,,95.6,506.6,518.3
106,,,539.5,,,96.6,510.9,515.6
112,,,544.2,,,94.3,518,516.8
109.5,,,546.6,,,97,511.1,518
106.3,,,526.6,,,93.7,517,518
106.7,,,532.7,,,96.8,511.5,512.3
103.4,,,538.8,,,94.7,516.4,510
100.9,,,539.2,,,94.1,517.7,518.2
103.3,,,532,,,92.4,516.4,541.7
111.6,,,542.3,,,92.8,522.2,519.9
108.8,,,541,,,94.2,518.5,513.9
111.6,,,537.3,,,94.9,516.9,519.7
108.7,,,546.1,,,93.6,513.3,516.9
110.2,,,538,,,93.8,512.1,523.8
121.8,,,537.4,,,96.8,509,513.8
125.4,,,530.7,,,97.8,519,509.5
121.4,,,538.6,,,94.8,515.6,516.1
122.3,,,535.6,,,95.1,511.5,519.3
127,,,537.5,,,96.6,511.7,512.7
123.2,,,544.7,,,94.4,512.9,512.9
123.4,,,536,,,96.6,515.5,513.6
121.7,,,527,,,95.4,514.3,506.9
124.4,,,540.4,,,93.6,516.4,513.6
124.4,,,542.4,,,96.3,512.3,510.4
126.1,,,534.4,,,94.6,512.6,515.8
133.9,,,541.7,,,96.9,512.7,519.5
142.1,,,533.5,,,96.9,515.1,508.6
